"data";"valor"
"01/01/1995";"2970,1"
"01/02/1995";"2945,8"
"01/03/1995";"3786,9"
"01/04/1995";"3382,4"
"01/05/1995";"4200,1"
"01/06/1995";"4109,7"
"01/07/1995";"3977,2"
"01/08/1995";"4548,9"
"01/09/1995";"4161,4"
"01/10/1995";"4401,9"
"01/11/1995";"4060,4"
"01/12/1995";"3871,3"
"01/01/1996";"3473,2"
"01/02/1996";"3409,8"
"01/03/1996";"3420,1"
"01/04/1996";"4276,9"
"01/05/1996";"4487,2"
"01/06/1996";"3829,6"
"01/07/1996";"4446,5"
"01/08/1996";"4378,5"
"01/09/1996";"4119,1"
"01/10/1996";"4176,3"
"01/11/1996";"3907,8"
"01/12/1996";"3786,2"
"01/01/1997";"3672,5"
"01/02/1997";"3141,8"
"01/03/1997";"3821,7"
"01/04/1997";"4611,5"
"01/05/1997";"4625,8"
"01/06/1997";"4814,1"
"01/07/1997";"5219,4"
"01/08/1997";"5055,7"
"01/09/1997";"4578,4"
"01/10/1997";"4795,2"
"01/11/1997";"3970,4"
"01/12/1997";"4515,9"
"01/01/1998";"3912,7"
"01/02/1998";"3711,7"
"01/03/1998";"4268,6"
"01/04/1998";"4567,7"
"01/05/1998";"4603,8"
"01/06/1998";"4891,4"
"01/07/1998";"4967,5"
"01/08/1998";"3979,6"
"01/09/1998";"4514,7"
"01/10/1998";"4004,1"
"01/11/1998";"3707,3"
"01/12/1998";"3979,4"
"01/01/1999";"2955,0"
"01/02/1999";"3277,5"
"01/03/1999";"3812,7"
"01/04/1999";"3696,2"
"01/05/1999";"4390,5"
"01/06/1999";"4319,4"
"01/07/1999";"4128,0"
"01/08/1999";"4284,5"
"01/09/1999";"4302,8"
"01/10/1999";"4343,8"
"01/11/1999";"4058,5"
"01/12/1999";"4695,3"
"01/01/2000";"3487,7"
"01/02/2000";"4185,8"
"01/03/2000";"4463,1"
"01/04/2000";"4186,1"
"01/05/2000";"5089,4"
"01/06/2000";"4858,4"
"01/07/2000";"5078,0"
"01/08/2000";"5540,1"
"01/09/2000";"4712,0"
"01/10/2000";"4637,9"
"01/11/2000";"4391,0"
"01/12/2000";"4683,7"
"01/01/2001";"4539,5"
"01/02/2001";"4069,0"
"01/03/2001";"5174,1"
"01/04/2001";"4738,0"
"01/05/2001";"5352,3"
"01/06/2001";"5044,7"
"01/07/2001";"4966,4"
"01/08/2001";"5734,2"
"01/09/2001";"4768,9"
"01/10/2001";"5004,4"
"01/11/2001";"4512,0"
"01/12/2001";"4360,6"
"01/01/2002";"3998,9"
"01/02/2002";"3663,9"
"01/03/2002";"4271,6"
"01/04/2002";"4638,0"
"01/05/2002";"4433,3"
"01/06/2002";"4067,5"
"01/07/2002";"6223,9"
"01/08/2002";"5769,4"
"01/09/2002";"6506,5"
"01/10/2002";"6471,6"
"01/11/2002";"5123,0"
"01/12/2002";"5259,1"
"01/01/2003";"4808,0"
"01/02/2003";"5006,8"
"01/03/2003";"5239,1"
"01/04/2003";"5711,6"
"01/05/2003";"6392,5"
"01/06/2003";"5878,8"
"01/07/2003";"6104,7"
"01/08/2003";"6410,8"
"01/09/2003";"7276,0"
"01/10/2003";"7552,0"
"01/11/2003";"5988,2"
"01/12/2003";"6743,2"
"01/01/2004";"5823,4"
"01/02/2004";"5749,2"
"01/03/2004";"7922,4"
"01/04/2004";"6580,1"
"01/05/2004";"7942,8"
"01/06/2004";"9323,6"
"01/07/2004";"8983,4"
"01/08/2004";"9048,4"
"01/09/2004";"8906,5"
"01/10/2004";"8837,2"
"01/11/2004";"8146,8"
"01/12/2004";"9179,1"
"01/01/2005";"7453,7"
"01/02/2005";"7768,5"
"01/03/2005";"9234,6"
"01/04/2005";"9204,0"
"01/05/2005";"9808,8"
"01/06/2005";"10166,9"
"01/07/2005";"11054,1"
"01/08/2005";"11340,8"
"01/09/2005";"10628,8"
"01/10/2005";"9884,6"
"01/11/2005";"10727,6"
"01/12/2005";"10977,5"
"01/01/2006";"9314,0"
"01/02/2006";"8795,0"
"01/03/2006";"11400,8"
"01/04/2006";"9807,0"
"01/05/2006";"10277,8"
"01/06/2006";"11434,7"
"01/07/2006";"13609,7"
"01/08/2006";"13736,5"
"01/09/2006";"12546,6"
"01/10/2006";"12673,0"
"01/11/2006";"11954,8"
"01/12/2006";"12258,3"
"01/01/2007";"11013,6"
"01/02/2007";"10124,0"
"01/03/2007";"12913,2"
"01/04/2007";"12449,6"
"01/05/2007";"13651,3"
"01/06/2007";"13087,7"
"01/07/2007";"14125,5"
"01/08/2007";"15105,1"
"01/09/2007";"14150,6"
"01/10/2007";"15737,3"
"01/11/2007";"14070,2"
"01/12/2007";"14239,4"
"01/01/2008";"13320,8"
"01/02/2008";"12817,8"
"01/03/2008";"12633,3"
"01/04/2008";"14087,0"
"01/05/2008";"19333,7"
"01/06/2008";"18603,2"
"01/07/2008";"20500,1"
"01/08/2008";"19797,5"
"01/09/2008";"20023,6"
"01/10/2008";"18621,2"
"01/11/2008";"14732,6"
"01/12/2008";"13906,9"
"01/01/2009";"9865,0"
"01/02/2009";"9650,3"
"01/03/2009";"11870,9"
"01/04/2009";"12369,8"
"01/05/2009";"11996,0"
"01/06/2009";"14613,1"
"01/07/2009";"14212,7"
"01/08/2009";"13881,1"
"01/09/2009";"13873,5"
"01/10/2009";"14149,0"
"01/11/2009";"12627,1"
"01/12/2009";"14500,9"
"01/01/2010";"11260,8"
"01/02/2010";"12157,1"
"01/03/2010";"15675,0"
"01/04/2010";"15112,8"
"01/05/2010";"17644,3"
"01/06/2010";"17039,0"
"01/07/2010";"17647,8"
"01/08/2010";"19190,0"
"01/09/2010";"18786,1"
"01/10/2010";"18331,2"
"01/11/2010";"17634,5"
"01/12/2010";"20845,6"
"01/01/2011";"15147,0"
"01/02/2011";"16670,5"
"01/03/2011";"19236,5"
"01/04/2011";"20103,8"
"01/05/2011";"23155,8"
"01/06/2011";"23668,7"
"01/07/2011";"22222,2"
"01/08/2011";"26116,7"
"01/09/2011";"23246,9"
"01/10/2011";"22076,3"
"01/11/2011";"21728,5"
"01/12/2011";"22133,0"
"01/01/2012";"16098,2"
"01/02/2012";"17991,9"
"01/03/2012";"20887,4"
"01/04/2012";"19536,2"
"01/05/2012";"23202,8"
"01/06/2012";"19325,3"
"01/07/2012";"20991,9"
"01/08/2012";"22329,0"
"01/09/2012";"19982,8"
"01/10/2012";"21777,7"
"01/11/2012";"20453,7"
"01/12/2012";"19706,4"
"01/01/2013";"15954,2"
"01/02/2013";"15517,0"
"01/03/2013";"19292,4"
"01/04/2013";"20599,1"
"01/05/2013";"21783,8"
"01/06/2013";"21089,5"
"01/07/2013";"20772,0"
"01/08/2013";"21366,9"
"01/09/2013";"20816,3"
"01/10/2013";"22771,6"
"01/11/2013";"20814,1"
"01/12/2013";"20800,3"
"01/01/2014";"15966,0"
"01/02/2014";"15847,7"
"01/03/2014";"17544,2"
"01/04/2014";"19636,3"
"01/05/2014";"20662,6"
"01/06/2014";"20379,1"
"01/07/2014";"22939,5"
"01/08/2014";"20377,0"
"01/09/2014";"19541,9"
"01/10/2014";"18235,5"
"01/11/2014";"15551,1"
"01/12/2014";"17416,8"
"01/01/2015";"13622,1"
"01/02/2015";"12017,1"
"01/03/2015";"16899,4"
"01/04/2015";"15064,0"
"01/05/2015";"16680,6"
"01/06/2015";"19593,2"
"01/07/2015";"18458,5"
"01/08/2015";"15366,1"
"01/09/2015";"16035,1"
"01/10/2015";"15946,8"
"01/11/2015";"13709,2"
"01/12/2015";"16684,8"
"01/01/2016";"11135,1"
"01/02/2016";"13277,3"
"01/03/2016";"15886,9"
"01/04/2016";"15272,9"
"01/05/2016";"17474,0"
"01/06/2016";"16628,1"
"01/07/2016";"16225,6"
"01/08/2016";"16931,5"
"01/09/2016";"15746,1"
"01/10/2016";"13668,8"
"01/11/2016";"16159,1"
"01/12/2016";"15909,0"
"01/01/2017";"14883,1"
"01/02/2017";"15501,1"
"01/03/2017";"20118,3"
"01/04/2017";"17700,9"
"01/05/2017";"19812,1"
"01/06/2017";"19812,3"
"01/07/2017";"18797,1"
"01/08/2017";"19504,5"
"01/09/2017";"18697,4"
"01/10/2017";"18891,8"
"01/11/2017";"16720,6"
"01/12/2017";"17629,4"
"01/01/2018";"17063,5"
"01/02/2018";"17442,4"
"01/03/2018";"20274,3"
"01/04/2018";"19731,8"
"01/05/2018";"19344,7"
"01/06/2018";"20132,4"
"01/07/2018";"22546,8"
"01/08/2018";"21569,7"
"01/09/2018";"19193,1"
"01/10/2018";"21914,8"
"01/11/2018";"20958,0"
"01/12/2018";"19365,5"
"01/01/2019";"18121,7"
"01/02/2019";"15935,2"
"01/03/2019";"17702,8"
"01/04/2019";"19471,7"
"01/05/2019";"20716,3"
"01/06/2019";"18139,8"
"01/07/2019";"20071,4"
"01/08/2019";"18798,9"
"01/09/2019";"18781,7"
